m,agreement_revenue_only_scaled,agreement_cost_scaled
0.35,1.0,0.94275
0.3892857142857143,1.0,0.974953125
0.42857142857142855,1.0,0.995765625
0.46785714285714286,1.0,0.9999375
0.5071428571428571,1.0,1.0
0.5464285714285715,1.0,1.0
0.5857142857142857,1.0,1.0
0.625,1.0,1.0
0.6642857142857144,1.0,1.0
0.7035714285714286,1.0,1.0
0.7428571428571429,1.0,1.0
0.7821428571428573,1.0,1.0
0.8214285714285715,1.0,1.0
0.8607142857142858,1.0,1.0
0.9,1.0,1.0
0.9392857142857144,1.0,1.0
0.9785714285714286,1.0,1.0
1.0178571428571428,1.0,1.0
1.0571428571428574,1.0,1.0
1.0964285714285715,1.0,1.0
1.1357142857142857,1.0,1.0
1.1750000000000003,1.0,1.0
1.2142857142857144,1.0,1.0
1.2535714285714286,1.0,1.0
1.2928571428571431,1.0,1.0
1.3321428571428573,1.0,1.0
1.3714285714285714,1.0,1.0
1.410714285714286,1.0,1.0
1.45,1.0,1.0
