capacity_ratio,offer,p_stockout
0.85,No Offer,0.601375
0.85,Discount,0.93225
0.85,BOGO,0.987375
0.8676470588235294,No Offer,0.547875
0.8676470588235294,Discount,0.914375
0.8676470588235294,BOGO,0.98325
0.8852941176470588,No Offer,0.511125
0.8852941176470588,Discount,0.896375
0.8852941176470588,BOGO,0.97775
0.9029411764705882,No Offer,0.465875
0.9029411764705882,Discount,0.872875
0.9029411764705882,BOGO,0.971875
0.9205882352941176,No Offer,0.428125
0.9205882352941176,Discount,0.8475
0.9205882352941176,BOGO,0.959875
0.9382352941176471,No Offer,0.397
0.9382352941176471,Discount,0.82325
0.9382352941176471,BOGO,0.95
0.9558823529411764,No Offer,0.3475
0.9558823529411764,Discount,0.794
0.9558823529411764,BOGO,0.935375
0.9735294117647059,No Offer,0.3075
0.9735294117647059,Discount,0.758
0.9735294117647059,BOGO,0.928625
0.9911764705882353,No Offer,0.26575
0.9911764705882353,Discount,0.737625
0.9911764705882353,BOGO,0.911125
1.0088235294117647,No Offer,0.2285
1.0088235294117647,Discount,0.696
1.0088235294117647,BOGO,0.887125
1.026470588235294,No Offer,0.205375
1.026470588235294,Discount,0.65625
1.026470588235294,BOGO,0.86925
1.0441176470588236,No Offer,0.177
1.0441176470588236,Discount,0.606625
1.0441176470588236,BOGO,0.841875
1.061764705882353,No Offer,0.149875
1.061764705882353,Discount,0.56
1.061764705882353,BOGO,0.8245
1.0794117647058823,No Offer,0.11925
1.0794117647058823,Discount,0.532375
1.0794117647058823,BOGO,0.784375
1.0970588235294119,No Offer,0.100375
1.0970588235294119,Discount,0.478
1.0970588235294119,BOGO,0.74475
1.1147058823529412,No Offer,0.08475
1.1147058823529412,Discount,0.433
1.1147058823529412,BOGO,0.708375
1.1323529411764706,No Offer,0.065
1.1323529411764706,Discount,0.3995
1.1323529411764706,BOGO,0.675375
1.15,No Offer,0.050875
1.15,Discount,0.34525
1.15,BOGO,0.633
1.1676470588235293,No Offer,0.04425
1.1676470588235293,Discount,0.30575
1.1676470588235293,BOGO,0.593125
1.1852941176470588,No Offer,0.033875
1.1852941176470588,Discount,0.27475
1.1852941176470588,BOGO,0.549375
1.2029411764705882,No Offer,0.025375
1.2029411764705882,Discount,0.241875
1.2029411764705882,BOGO,0.514875
1.2205882352941178,No Offer,0.0235
1.2205882352941178,Discount,0.20875
1.2205882352941178,BOGO,0.468625
1.238235294117647,No Offer,0.01625
1.238235294117647,Discount,0.174375
1.238235294117647,BOGO,0.4185
1.2558823529411764,No Offer,0.011875
1.2558823529411764,Discount,0.151125
1.2558823529411764,BOGO,0.379125
1.2735294117647058,No Offer,0.009375
1.2735294117647058,Discount,0.1305
1.2735294117647058,BOGO,0.33625
1.2911764705882351,No Offer,0.005625
1.2911764705882351,Discount,0.102625
1.2911764705882351,BOGO,0.300125
1.3088235294117647,No Offer,0.004875
1.3088235294117647,Discount,0.082125
1.3088235294117647,BOGO,0.25825
1.326470588235294,No Offer,0.004125
1.326470588235294,Discount,0.06625
1.326470588235294,BOGO,0.227125
1.3441176470588236,No Offer,0.002125
1.3441176470588236,Discount,0.059
1.3441176470588236,BOGO,0.187375
1.361764705882353,No Offer,0.0015
1.361764705882353,Discount,0.044375
1.361764705882353,BOGO,0.1675
1.3794117647058823,No Offer,0.001375
1.3794117647058823,Discount,0.040875
1.3794117647058823,BOGO,0.1385
1.3970588235294117,No Offer,0.001125
1.3970588235294117,Discount,0.0265
1.3970588235294117,BOGO,0.119125
1.414705882352941,No Offer,0.000625
1.414705882352941,Discount,0.0225
1.414705882352941,BOGO,0.1055
1.4323529411764706,No Offer,0.000625
1.4323529411764706,Discount,0.016375
1.4323529411764706,BOGO,0.080875
1.45,No Offer,0.000125
1.45,Discount,0.012875
1.45,BOGO,0.064125
